City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,quiberon,47.4841,-3.1196,18.93,80,12,3.13,FR,1687905134
1,weno,7.4515,151.8468,27.97,89,100,2.06,FM,1687905134
2,rustaq,23.3908,57.4244,30.66,70,100,2.14,OM,1687905134
3,puerto escondido,15.85,-97.0667,32.46,55,20,5.14,MX,1687905135
4,richards bay,-28.783,32.0377,17.0,93,2,1.54,ZA,1687904959
5,waitangi,-43.9535,-176.5597,12.68,92,100,5.36,NZ,1687905135
6,jamestown,42.097,-79.2353,20.01,85,100,5.66,US,1687904908
7,port mathurin,-19.6833,63.4167,22.38,58,71,2.97,MU,1687905135
8,port-aux-francais,-49.35,70.2167,2.6,80,93,8.97,TF,1687905135
9,petropavlovsk-kamchatsky,53.0452,158.6483,16.33,82,75,2.0,RU,1687905135
10,acapulco de juarez,16.8634,-99.8901,31.9,66,20,5.14,MX,1687905057
11,mugia,43.1041,-9.2179,20.09,84,24,9.65,ES,1687905136
12,thompson,55.7435,-97.8558,24.09,43,75,1.54,CA,1687905136
13,albany,42.6001,-73.9662,24.77,78,100,0.45,US,1687905136
14,puerto natales,-51.7236,-72.4875,0.93,99,100,0.18,CL,1687905136
15,utrik,11.2278,169.8474,28.06,81,100,8.42,MH,1687905136
16,st. john's,47.5649,-52.7093,13.77,89,75,7.2,CA,1687904973
17,atafu village,-8.5421,-172.5159,28.59,78,35,6.98,TK,1687905136
18,chifeng,42.2683,118.9636,27.09,29,100,2.06,CN,1687905137
19,edinburgh of the seven seas,-37.0676,-12.3116,12.32,71,50,1.08,SH,1687905137
20,flekkefjord,58.2971,6.6607,13.3,90,1,2.36,NO,1687905137
21,luderitz,-26.6481,15.1594,13.37,87,64,9.14,NA,1687905137
22,taoudenni,22.6783,-3.9836,38.5,15,60,2.35,ML,1687905137
23,adamstown,-25.066,-130.1015,21.06,74,89,12.15,PN,1687905137
24,prieska,-29.6641,22.7474,8.16,78,23,0.84,ZA,1687905137
25,mohr,54.3528,9.7167,13.97,82,1,2.57,DE,1687905138
26,west island,-12.1568,96.8225,23.99,88,75,6.17,CC,1687905138
27,alto araguaia,-17.3147,-53.2153,19.41,48,1,1.46,BR,1687905138
28,margaret river,-33.95,115.0667,12.81,74,78,2.9,AU,1687905138
29,arraial do cabo,-22.9661,-42.0278,22.29,83,0,10.38,BR,1687905138
30,auki,-8.7676,160.7034,27.69,79,81,3.52,SB,1687905138
31,ilulissat,69.2167,-51.1,8.01,66,100,5.14,GL,1687905138
32,wailua homesteads,22.0669,-159.378,28.44,71,0,8.23,US,1687905139
33,birzebbuga,35.8258,14.5269,23.42,80,0,2.51,MT,1687905139
34,mhamid,29.82,-5.72,34.6,13,49,4.84,MA,1687905139
35,udachny,66.4167,112.4,19.75,39,75,4.8,RU,1687905139
36,umiray,15.2206,121.4111,27.74,82,100,0.82,PH,1687905139
37,akureyri,65.6835,-18.0878,11.96,62,75,4.12,IS,1687905139
38,praia da vitoria,38.7333,-27.0667,21.53,88,75,6.26,PT,1687905139
39,bilibino,68.0546,166.4372,10.29,57,99,2.12,RU,1687905139
40,punta arenas,-53.15,-70.9167,1.06,93,100,6.69,CL,1687905028
41,saipan,15.1355,145.701,29.39,100,40,4.12,MP,1687905140
42,san angelo,31.4638,-100.437,43.91,14,0,7.2,US,1687905140
43,kapuskasing,49.4169,-82.4331,20.05,32,40,7.2,CA,1687905140
44,invercargill,-46.4,168.35,10.95,95,100,1.56,NZ,1687905080
45,lompoc,34.6391,-120.4579,24.45,74,75,8.23,US,1687905081
46,georgetown,5.4112,100.3354,26.96,90,20,2.06,MY,1687904903
47,fale old settlement,-9.3852,-171.2468,28.92,74,32,7.12,TK,1687905140
48,wewak,-3.5534,143.6268,26.85,84,72,3.57,PG,1687905140
49,devils lake,48.1128,-98.8651,25.06,64,75,3.6,US,1687905141
50,san lorenzo,-25.3333,-57.5333,21.52,64,0,2.24,PY,1687905141
51,corinto,37.9407,22.9573,24.38,67,1,1.95,GR,1687905141
52,isafjordur,66.0755,-23.124,8.06,95,100,7.62,IS,1687905141
53,smithers,54.7804,-127.1743,28.18,30,0,2.57,CA,1687905141
54,rongelap,11.1635,166.8941,27.98,81,99,7.56,MH,1687905141
55,mount isa,-20.7333,139.5,16.87,55,35,0.0,AU,1687905141
56,enewetak,11.3474,162.3373,28.18,79,89,7.76,MH,1687905141
57,tura,25.5198,90.2201,23.29,97,99,2.97,IN,1687905142
58,mil'kovo,55.6078,37.7956,16.22,90,100,1.36,RU,1687905142
59,whitehorse,60.7161,-135.0538,22.28,35,75,5.14,CA,1687905147
60,grytviken,-54.2811,-36.5092,-5.63,76,99,4.21,GS,1687905147
61,lihue,21.9789,-159.3672,28.77,63,0,8.23,US,1687905147
62,klyuchi,52.2667,79.1667,13.92,78,32,6.02,RU,1687905147
63,boa vista,2.8197,-60.6733,25.53,84,50,2.3,BR,1687905127
64,la'ie,21.6477,-157.9253,29.98,63,14,7.53,US,1687905148
65,muynoq,43.7683,59.0214,21.15,40,81,3.73,UZ,1687905148
66,olinda,-8.0089,-34.8553,24.48,86,32,5.02,BR,1687905148
67,happy valley-goose bay,53.3168,-60.3315,21.17,56,75,8.75,CA,1687904892
68,bathsheba,13.2167,-59.5167,25.34,94,75,4.63,BB,1687905148
69,rio grande,-32.035,-52.0986,16.08,96,100,4.79,BR,1687905149
70,ushuaia,-54.8,-68.3,-4.19,68,20,2.57,AR,1687905149
71,hamilton,39.1834,-84.5333,24.69,69,75,5.14,US,1687905149
72,yellowknife,62.456,-114.3525,24.29,41,20,4.63,CA,1687905149
73,gaspe,48.8334,-64.4819,16.12,88,75,2.57,CA,1687905014
74,hastings,50.8552,0.5729,18.32,42,86,4.75,GB,1687905149
75,glendive,47.1053,-104.7125,22.88,82,100,2.06,US,1687905149
76,mount pearl,47.5166,-52.7813,9.62,89,75,7.2,CA,1687905149
77,sabang,5.8933,95.3214,28.15,77,100,4.97,ID,1687905150
78,nizhnesortymskiy,62.4397,71.7603,13.02,63,98,2.13,RU,1687905150
79,isiolo,0.3546,37.5822,19.01,74,22,3.46,KE,1687905150
80,puerto ayora,-0.7393,-90.3518,28.98,85,31,2.68,EC,1687905150
81,avarua,-21.2078,-159.775,25.03,83,100,4.63,CK,1687905103
82,plouzane,48.3833,-4.6167,18.03,85,0,2.06,FR,1687905150
83,iskateley,67.6803,53.1512,5.79,89,100,3.48,RU,1687905150
84,bac lieu,9.285,105.7244,26.95,82,92,3.8,VN,1687905150
85,camabatela,-8.1881,15.375,14.82,77,6,0.95,AO,1687905156
86,carutapera,-1.195,-46.02,24.11,93,76,2.73,BR,1687905156
87,praia,14.9215,-23.5087,25.3,73,20,6.17,CV,1687905156
88,tromso,69.6496,18.957,11.88,82,0,4.63,NO,1687905156
89,buritis,-15.6178,-46.4233,22.85,43,32,1.22,BR,1687905156
90,jindabyne,-36.4167,148.6333,4.71,93,100,0.62,AU,1687905157
91,seymour,38.9592,-85.8903,26.53,68,75,1.34,US,1687905124
92,tame,6.461,-71.73,23.75,91,100,0.05,CO,1687905157
93,praia a mare,39.9009,15.7793,22.24,78,0,1.41,IT,1687905157
94,quelimane,-17.8786,36.8883,17.97,88,20,1.03,MZ,1687905157
95,ryotsu-minato,38.0833,138.4333,23.39,92,93,5.72,JP,1687905157
96,amahai,-3.3333,128.9167,30.05,86,75,0.96,ID,1687905157
